name,id,parent_id,parent_name
Cobicistat; Elvitegravir; Emtricitabine; Tenofovir Alafenamide Fumarate,LhFL_CoFuSA,wnKTyjkxda6,Nucleoside reverse transcriptase inhibitors
Cobicistat; Elvitegravir; Emtricitabine; Tenofovir Disoproxil Fumarate,fIuGIBwYTz5,wnKTyjkxda6,Nucleoside reverse transcriptase inhibitors
Cobimetinib Fumarate,RLXnjH6mGG_,UiuCko4C9xA,"Antineoplastics, kinase inhibitors"
Cocaine Hydrochloride,WfZbAljXaT9,5oR842bbRsD,"Anesthetics, local"
Cocamidopropyl Betaine,KhDfojulis-,ISv-VRjyQeC,"Anti-infectives, topical"
Cocamidopropyl Hydroxysultaine,ggo2hozaIED,ISv-VRjyQeC,"Anti-infectives, topical"
Coccidioides Immitis Spherule-Derived Skin Test Antigen,BP6t7D1ZA35,vVUc0XiiUW9,"Diagnostics, nonradioactive"
Cod liver oil supplements,QLOY2onApDF,XLpAbpivax8,"Nutritionals, enteral/parenteral"
Codeine Phosphate,V5jUyTLzSJ4,njguYzQopJG,"Analgesics, narcotic"
Codeine Phosphate; Fluidextract Ipecac; Phenylephrine Hydrochloride; Potassium Guaiacolsulfonate; Promethazine Hydrochloride,hE58E695XS-,tp5SZ2G5lJ6,Adrenergic agonists
Codeine Phosphate; Guaifenesin; Pseudoephedrine Hydrochloride,lAIQOzJZcNG,DEJK5xl7RB_,Antitussives
Codeine Phosphate; Iodinated Glycerol,M3wg0OoLT6F,DEJK5xl7RB_,Antitussives
Codeine Phosphate; Potassium Guaiacolsulfonate; Powdered Extract Ipecac; Promethazine Hydrochloride,7ZeKMBtIYmG,DEJK5xl7RB_,Antitussives
Codeine Phosphate; Pseudoephedrine Hydrochloride; Triprolidine Hydrochloride Monohydrate,uS9uSU9VhzE,BdgB63BvsxA,"Antihistamines, H1"
Codeine Sulfate,N5K4NTQVn05,njguYzQopJG,"Analgesics, narcotic"
Colchicine,oYx-2vKMckB,A8eWHWwnkb_,Antigout agents
Colesevelam Hydrochloride,nADarZ7Uv4D,IS4zFJj_Ix-,Antihyperlipidemics
Colestilan,pxGr3Ch-U14,s4bcAcNH5NA,Chelators
Colestipol Hydrochloride,pvD-hPhG1wB,IS4zFJj_Ix-,Antihyperlipidemics
Colistimethate Sodium,_9gQPHYOh8E,Q4wdIYJIkV_,"Antibiotics, polymyxins"
Colistin Sulfate,8ZXmgcIm9J_,Q4wdIYJIkV_,"Antibiotics, polymyxins"
Colistin Sulfate; Hydrocortisone Acetate; Neomycin Sulfate; Thonzonium Bromide,M6uIC7okZi5,hCpojsY2e77,"Anti-infectives, otic"
Collagen Hemostat,2PS1J2Ou0f8,BytOnFoewxB,Hemostatics
Collagenase,j4s8Ixk1oDC,4t29drEZILF,"Enzymes, topical"
Colloidal silver,drs36VVKEW6,ISv-VRjyQeC,"Anti-infectives, topical"
Concizumab,FxrcUBp-Ll8,TwKmfXu6x-A,Antihemophilic agents
Conivaptan Hydrochloride,LoWMpf0TY1H,lNDqBEBQaC-,Hormones/hormone modifiers
Conorfone,p1Ah-AGtpbE,njguYzQopJG,"Analgesics, narcotic"
Contusugene Ladenovec,qNR7bv5JTb9,-rIVXZNYweC,"Antineoplastics, other"
Copanlisib Dihydrochloride,EzhM5yqyOgC,UiuCko4C9xA,"Antineoplastics, kinase inhibitors"
Copper Dotatate Cu-64,jUZjbDsQZa8,wm8smfB5tiA,"Diagnostics, radiopharmaceuticals"
Copper Histidinate,CmVOSGz6dTE,SXewe47-dN8,Vitamins/minerals
Copper histidine,VWobLyYYQn8,SXewe47-dN8,Vitamins/minerals
Cord blood stem cells,FWKeoHMeKp8,mRC9QLKlDxF,Cells
Corifollitropin Alfa,UaQGfoIgVhH,AhqRivLC26A,Recombinant DNA Origin
Corticorelin Ovine Triflutate,-SdoaZB-1a4,vVUc0XiiUW9,"Diagnostics, nonradioactive"
"Corticosteroids Unconjugated, NOS",lD-Y7ZPMNLB,xv19QVduF1_,"Corticosteroids, systemic"
"Corticosteroids with mineralocorticoid activity, NOS",sn431eyu4KH,xv19QVduF1_,"Corticosteroids, systemic"
"Corticosteroids, inhalation, NOS",bLrHmsDacUE,Pdg-KSKMuF-,"Corticosteroids, inhalation"
"Corticosteroids, NOS",ATqbU15xkMA,Zw49jhClVYF,Corticosteroids
"Corticosteroids, systemic, NOS",bBoA94Fr618,xv19QVduF1_,"Corticosteroids, systemic"
"Corticosteroids, topical, NOS",1cGD-Vk_tzC,I9S3cHZ2XN-,"Corticosteroids, topical"
Corticotropin,5pt_HOmWub4,xv19QVduF1_,"Corticosteroids, systemic"
Corticotropin-Zinc Hydroxide,gHDyMotCf6-,xv19QVduF1_,"Corticosteroids, systemic"
Corticotropin; Cyanocobalamin,Ee098WPoiw5,xv19QVduF1_,"Corticosteroids, systemic"
"Corticotropins, NOS",Sm76_BRMLs-,lNDqBEBQaC-,Hormones/hormone modifiers
Cortisol,t5jEg_kb6n_,xv19QVduF1_,"Corticosteroids, systemic"
Cortisone Acetate,9QKAQ0Wygh4,xv19QVduF1_,"Corticosteroids, systemic"
Cortisone Acetate; Neomycin Sulfate,dVINZ3Bewy7,oW0DZMGTAWB,"Antibiotics, aminoglycosides"
Cosibelimab,xz-qrnVJAgB,6tm78WJkym7,"Antineoplastics, monoclonal antibodies"
Cosyntropin,uFfJmTYuif_,xv19QVduF1_,"Corticosteroids, systemic"
"Coumarins, NOS",wvV_q3O06z6,80ZVP24wKK-,Anticoagulants
COVID-19 Vaccine (AstraZeneca),XwETWmrJqfC,jy_Ljmo3tf_,Vaccines
COVID-19 Vaccine (Hipra),EG__D2luts4,jy_Ljmo3tf_,Vaccines
COVID-19 Vaccine (Janssen),myccCweOW68,jy_Ljmo3tf_,Vaccines
COVID-19 Vaccine (Moderna),IbIjz5lMaQ7,jy_Ljmo3tf_,Vaccines
COVID-19 Vaccine (Novavax),kF-AxmEFn48,AhqRivLC26A,Recombinant DNA Origin
COVID-19 Vaccine (Pfizer-BioNTech),7Neiccf773-,jy_Ljmo3tf_,Vaccines
COVID-19 Vaccine (Sanofi),8qoSpmQP0yA,jy_Ljmo3tf_,Vaccines
COVID-19 Vaccine (Valneva),JyEnR6w6uNG,jy_Ljmo3tf_,Vaccines
"Covid-19 Vaccine, mRNA",rGJP6PrUEN5,jy_Ljmo3tf_,Vaccines
"COX-2 specific inhibitors, NOS",ADY1OuR4KX9,jeTuywTr6C6,COX-2 specific inhibitors
Crinecerfont,QN0bJkCYG29,lNDqBEBQaC-,Hormones/hormone modifiers
Crisaborole,4R_42Is7rO5,QblGx3T2oQ4,Dermatologics
Crizanlizumab,HmeJP_Y7pFB,hTR1UGDfcS6,Monoclonal antibodies
Crizotinib,KAU8oaRcB54,UiuCko4C9xA,"Antineoplastics, kinase inhibitors"
Croconazole,j-YOzmU1H78,53R3OA9N867,Antifungals
