name,id,parent_id,parent_name
Pain chronic,pAlv73IeGDC,MIG5HmhX83D,Pain
Pain chronic and severe,uobkY5Vz7LG,MIG5HmhX83D,Pain
Pain dental,ImzMJfHeGp7,vOgqhUN1FyF,Toothache
Pain gastrointestinal,D2sDwZCx70-,JqR7zhUbeq5,Gastrointestinal pain
Pain localised,WmpdRtEkSUC,lDIqem8Tyn6,Procedural pain
Pain lumbar,_oNuW5Mt-8F,V_dLYw0lsJ_,Back pain
Pain menstrual,zhCf3WLv7m-,x_zAsO7yEwC,Dysmenorrhoea
Pain mild,RW1dBO5YC0F,MIG5HmhX83D,Pain
Pain mild to moderate,pSdGHZDc1hE,MIG5HmhX83D,Pain
Pain moderate,ijwOxaaFSF7,MIG5HmhX83D,Pain
Pain moderate to moderately severe,zrMTsLkHZJA,MIG5HmhX83D,Pain
Pain moderate to severe,JNIKnDHQgtF,MIG5HmhX83D,Pain
Pain musculoskeletal,zXTHoBhah78,d46b30gqfZ5,Musculoskeletal pain
Pain musculoskeletal acute,3XD1svIJyD6,d46b30gqfZ5,Musculoskeletal pain
Pain myocardial ischemic,B3Kx3xUHrpB,0ahlJoEVWzH,Chest pain
Pain neuropathic,BjKBr4NdIv5,qMcY9CMRxl7,Neuralgia
Pain obstetrical,OTlmfRGgbO8,_QPt-TYPyn4,Labour pain
Pain ophthalmic,qPY8MbfsPF5,iZYqzdR9Nj6,Eye pain
Pain opioid tolerant,I0ZEBsyye3A,MIG5HmhX83D,Pain
Pain postoperative,ZQ4bIHOpkEC,lDIqem8Tyn6,Procedural pain
Pain postoperative acute,dMlDHW44WlB,lDIqem8Tyn6,Procedural pain
Pain postoperative ocular,ReDOubDbqd-,lDIqem8Tyn6,Procedural pain
